['7', '16', '31', '33', '35', '61', '63', '74', '75', '95', '111', '114', '129', '133', '139', '200', '210', '221', '231', '237', '245', '252', '261', '270', '278', '289', '299', '300', '305', '314', '325', '332', '344', '351', '352', '388', '393', '394', '409', '412', '424', '425', '426', '428', '436']
['3', '4', '32', '45', '51', '60', '92', '94', '96', '108', '119', '137', '146', '147', '149', '152', '154', '159', '164', '170', '197', '204', '205', '213', '241', '254', '256', '259', '280', '288', '291', '297', '307', '313', '315', '320', '326', '331', '377', '379', '382', '419', '420', '430', '438']
['2', '23', '29', '37', '39', '43', '52', '54', '68', '69', '104', '117', '118', '122', '130', '148', '168', '184', '188', '199', '203', '211', '215', '239', '244', '247', '253', '258', '266', '279', '283', '287', '294', '298', '304', '316', '333', '348', '349', '360', '364', '378', '381', '384', '386']
['18', '38', '50', '90', '97', '100', '102', '106', '110', '144', '150', '174', '180', '183', '190', '195', '201', '214', '216', '222', '234', '249', '265', '274', '286', '290', '292', '301', '309', '322', '324', '329', '346', '347', '355', '359', '361', '370', '371', '392', '396', '402', '404', '407', '408']
['12', '40', '55', '66', '76', '93', '99', '141', '142', '157', '169', '198', '217', '218', '219', '229', '230', '238', '240', '257', '267', '277', '285', '310', '321', '323', '330', '335', '343', '358', '368', '372', '401', '414', '423', '427', '429', '439', '440', '442', '443', '445', '446', '447', '448']
['11', '14', '15', '24', '27', '47', '48', '56', '57', '89', '113', '115', '124', '127', '128', '163', '165', '167', '175', '177', '189', '193', '242', '246', '251', '255', '263', '271', '272', '306', '319', '350', '354', '367', '376', '399', '413', '416', '418', '421', '431', '434', '435', '441', '444']
['41', '44', '49', '58', '70', '83', '85', '101', '105', '143', '145', '151', '155', '156', '160', '176', '192', '208', '220', '235', '243', '250', '264', '276', '284', '296', '302', '327', '338', '339', '345', '353', '369', '380', '387', '395', '397', '403', '405', '417', '432', '433', '437', '449', '450']
['6', '8', '13', '17', '19', '21', '36', '71', '77', '78', '79', '80', '84', '87', '88', '91', '134', '158', '162', '166', '171', '185', '202', '206', '207', '209', '223', '224', '225', '226', '233', '260', '268', '293', '295', '303', '311', '317', '336', '362', '373', '374', '385', '390', '391']
['20', '26', '28', '30', '34', '53', '64', '65', '67', '73', '81', '82', '86', '109', '120', '126', '131', '135', '136', '138', '140', '153', '161', '172', '173', '178', '179', '181', '186', '187', '191', '194', '212', '228', '232', '236', '269', '273', '312', '337', '340', '342', '356', '357', '365']
['1', '5', '9', '10', '22', '25', '42', '46', '59', '62', '72', '98', '103', '107', '112', '116', '121', '123', '125', '132', '182', '196', '227', '248', '262', '275', '281', '282', '308', '318', '328', '334', '341', '363', '366', '375', '383', '389', '398', '400', '406', '410', '411', '415', '422']
