['4', '45', '48', '66', '105', '108', '146', '153', '157', '163', '165', '170', '177', '178', '182', '203', '229', '230', '234', '236', '237', '239', '241', '254', '271', '272', '273', '278', '283', '293']
['12', '17', '42', '49', '53', '85', '89', '101', '113', '120', '123', '125', '128', '140', '149', '164', '167', '193', '204', '213', '215', '217', '227', '232', '242', '276', '277', '295', '297', '298']
['3', '30', '39', '57', '72', '92', '97', '100', '126', '133', '151', '152', '154', '158', '166', '171', '175', '186', '192', '200', '207', '208', '214', '223', '243', '252', '258', '266', '279', '292']
['16', '31', '41', '43', '47', '55', '64', '70', '124', '130', '131', '142', '173', '183', '199', '201', '228', '238', '240', '244', '246', '247', '257', '259', '261', '267', '280', '290', '291', '296']
['5', '14', '21', '33', '35', '56', '68', '71', '99', '129', '139', '162', '169', '174', '206', '248', '251', '255', '256', '262', '265', '270', '274', '281', '282', '285', '287', '288', '294', '299']
['1', '19', '20', '24', '25', '29', '40', '58', '62', '65', '73', '75', '88', '94', '102', '110', '112', '168', '184', '187', '188', '194', '195', '198', '218', '222', '224', '245', '263', '289']
['15', '23', '28', '34', '54', '84', '96', '103', '141', '145', '155', '156', '179', '181', '185', '205', '209', '212', '219', '221', '226', '231', '233', '260', '264', '268', '269', '275', '284', '286']
['7', '8', '13', '18', '36', '50', '52', '60', '67', '69', '81', '82', '87', '90', '104', '109', '115', '117', '159', '160', '172', '180', '190', '191', '197', '210', '216', '225', '250', '253']
['0', '6', '10', '11', '22', '26', '27', '44', '46', '59', '61', '63', '77', '83', '86', '91', '93', '106', '111', '118', '119', '122', '132', '134', '135', '138', '144', '147', '150', '161']
['2', '9', '32', '37', '38', '51', '74', '76', '78', '79', '80', '95', '98', '107', '114', '116', '121', '127', '136', '137', '143', '148', '176', '189', '196', '202', '211', '220', '235', '249']
